country,CPI_2015,Risk_Dec_15,Risk_Nov_14,year,electric_percap,food_prod_index,percent_forest,gdp,income_bottom_20,literacy_male,literacy_female,childmort,net_migration,pop,undernourish,school_complete,researchers,rural_pop,total_debt,urban_pop,row_na
Latvia,44,73.0,69.0,2012,3587.9328659861103,137.28,53.953040347831,28119996053.2511,6.5,,,6.7,-83325.0,2034319.0,2.5,98.53286743164058,1889.29981,32.103,,1381242.0,3
Lebanon,72,63.3,58.5,2012,2487.43643288219,87.75,13.397849223714001,44230727694.859,,,,9.4,1250000.0,5538634.0,7.6,81.1909408569336,,12.364,51.6946609214064,4853837.0,4
Lesotho,56,,,2012,,108.65,1.51515151515152,2678475773.44702,,,,97.4,-25000.0,2014990.0,13.3,72.4742126464844,,74.296,2.4404276365667203,517933.0,7
Liberia,63,50.5,50.0,2012,,133.66,44.3210132890365,2721000000.0,,,,89.7,-20000.0,4135659.0,37.2,,,51.417,1.1728440950142098,2009227.0,6
Libya,84,51.3,59.3,2012,2241.25999284095,116.5,0.123327687918433,81873662518.8238,,,,15.0,-433403.0,6285750.0,,,,21.488000000000003,,4935068.0,7
Lithuania,41,75.0,76.0,2012,3607.70379811318,127.66,34.6874307348254,42848195256.2142,6.5,,,5.2,-146217.0,2987773.0,2.5,101.10349273681601,2641.53776,33.136,,1997745.0,3
Luxembourg,15,85.8,87.5,2012,14703.943527213702,88.86,35.6790110898116,56677961787.0717,7.4,,,2.8,48704.0,530946.0,2.5,85.73951721191409,4339.66269,10.751,,473864.0,3
Madagascar,72,60.3,63.5,2012,,126.8,21.521326240342397,9919780071.287642,5.7,75.02886962890629,75.30384826660159,55.0,-7500.0,22346641.0,33.3,69.12875366210939,,66.773,2.52846633019117,7425118.0,2
Malawi,69,57.8,61.0,2012,,180.33,33.952057700466696,6028487928.83351,,,,75.9,-30000.0,15396005.0,21.7,71.4301376342773,,84.18799999999997,2.05401983457724,2434416.0,5
Malaysia,50,74.0,78.8,2012,4338.56165435176,125.13,67.4247462810075,314443149443.149,,,,7.5,781650.0,29068159.0,3.4,107.26717376709,1784.41674,27.725,,21009012.0,4
Mali,65,61.3,60.5,2012,,151.23,4.05838434997828,12442747897.2223,,,,125.9,-302449.0,15979499.0,6.4,54.4688110351563,,62.401,1.75867359788295,6008132.0,5
Malta,40,76.3,75.8,2012,5002.04748254878,90.74,1.09374998137355,9211948090.70898,8.4,,,6.6,9447.0,420028.0,2.5,93.13050079345699,1991.49693,5.789,,395713.0,3
Mauritania,69,,,2012,,115.3,0.228000388085767,5231255478.38986,,,,92.3,40000.0,3706554.0,7.2,67.9730682373047,,51.6,5.1038341058255705,1793972.0,7
Mauritius,47,,,2012,2075.03571195383,95.29,18.9556647991312,11668685524.1265,7.4,94.6524124145508,,14.8,-12079.0,1255882.0,5.4,95.62267303466801,181.82964,58.668,40.927815949626,519081.0,3
Mexico,69,67.5,68.8,2012,2253.5144252371697,112.52,34.1134272357828,1201089987015.45,5.2,95.39163208007808,99.02957153320308,16.4,-300000.0,117274155.0,4.6,100.41058349609399,240.78799,21.595,17.819490901467802,91948801.0,0
Moldova,67,61.0,63.8,2012,1514.53047448265,85.02,12.0267806514617,8709165249.26928,9.0,99.3735885620117,99.5857772827148,16.8,-9529.0,3559519.0,,89.6388473510742,768.64793,57.442,15.030862175039802,1514860.0,1
Mongolia,61,62.0,64.3,2012,1588.13381531979,129.25,8.267874847728761,12292770631.1967,7.6,,,22.4,-15001.0,2824699.0,18.6,,,31.97,26.4253288242736,1921643.0,4
